Text,Category_Conclusion/Future Work,Category_Data/Dataset,Category_Discussion/Analysis,Category_Experiments/Experimentation,Category_Introduction/Background,Category_Methods/Methodology,Category_Results/Findings,Category_Tools/Technologies,Category_Uncategorized
"It is represented by the notation
(P, R) where P means the number of sampling points on
a circle of radius R. There are various applications where
LBP is used, such as-texture analysis, face analysis, and
classiﬁcation.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"It codiﬁes the local primitives, including the
edges, corners, different spots, and ﬂat areas.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Nowadays, LBP
converts the important pixels of an image into a histogram
which is known as the Histogram of Oriented Graph approach
(HoG), that stores the information of local-micro patterns of
the faces.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"VOLUME 8, 2020
90505
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
A modiﬁed algorithm for LBP was proposed by the authors
of [89].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The steps for generating the threshold are as follows.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• The input preprocessed image is divided into 3 × 3
blocks.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• For each block, calculate the minimum and maximum of
block representing the pixel intensity value of the block.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Now, calculate the threshold value of block B by taking
an average of both the minimum and maximum values.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• If any element of the block is greater than threshold, then
write ‘1’ to it, else write ‘0’.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• The eight-bit pattern is converted to a decimal number,
representing transformed block B.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"2) GABOR FILTER
It extracts both time and frequency domains [102] of the
image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Means, it analyzes whether there is any particular fre-
quency content in the image in a particular direction around
the point of analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The use of 2D Gabor Filter is made in
the spatial domain.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Gabor Filters is quite successful in FER
models.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Multi-resolution structures are applied to images
which consist of multi-frequencies and multi orientations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
These structures relate Gabor Filters to wavelets [103].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The ﬁlters having real and imaginary components rep-
resents the orthogonal directions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The equations are shown
below [102]:
9ω,θ(a, b) =
1
2πσaσb
exp
""
−1
2
 
a
′2
σ 2
a
+ b
′2
σ 2
b
!#
exp

jωa′
(3)
a′ = a cos θ + b sin θ
(4)
b′ = −a sin θ + b cos θ
(5)
where (a,b) is the pixel position in the spatial domain, θ is the
orientation of Gabor ﬁlter, ω is the radial central frequency
and σ is the standard deviation of the Gaussian Filter which
means it controls the size of the Gabor Envelope.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Liu et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[87] proposed in his paper the local Gabor ﬁlter
bank LG (m × n) which spreads all over.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It also contains
multi-scale information of features those having a global
ﬁlter or the image as well as it also reduces the redundancy in
eigen values.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
This reduces the time for extracting the features.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[84] used a Gabor Filter bank with eight orientations and
ﬁve scales.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The formed bank is used to ﬁlter the generated
divided images 40 times each.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"This created a computational
burden from them, so they reduced the number of features by
dimension reduction techniques.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Dimension reduction using
PCA is explained under section PCA.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"3) DISCRETE COSINE TRANSFORM (DCT)
A ﬁnite sequence of data or feature points as the sum of
cosine functions are oscillating at different frequencies is
represented by DCT.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It is a way to compressing the data/
2D-image without losing its original meaning [104].",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In such
type of applications (data compression), an input of 8 × 8
size is used for DCT [105] for feature extraction.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It has
two stages:
• The ﬁrst stage is to apply DCT on the image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
• The second step is the selection of co-efﬁcients [106].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"By applying DCT on an U × V image then a 2D U × V
co-efﬁcient matrix is formed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Gx(0) =
√
2
M
M−1
X
m=0
X(m)
(6)
Gx(k) = 2
M
M−1
X
m=0
X(m) cos (2m + 1)k5
2M
,
(7)
where
k = 1, 2, .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
", (M −1)
(8)
where
Gx(k)
is
the
kth
DCT
co-efﬁcient
[107].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jayalekshmi et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[75] in their work have used DCT over
ﬁxed discrete sequences to convert the data into elementary
frequency components.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4) SCALE INVARIANT FEATURE TRANSFORM (SIFT)
It transforms the input image data into scale-invariant co-
ordinates relative to the local features and stored into a
database [108].",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SIFT features are highly distinctive i.e., it
can match a single feature with a large probability from
the database.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SIFT also features scale and rotation invariant,
which means that even if we scale or rotate the image, the fea-
tures remain preserved.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"This is useful in FER when a rotated
image comes as an input.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"If we rotate the image, then also
the features are maintained, and we can get those features
efﬁciently [109].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The stages of the SIFT procedure are as
follows.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Scale-Space Extrema Detection: The ﬁrst stage searches
all image locations and scales using the Gaussian
method.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Keypoint localization: It determines the location and
scale at each point of the image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Orientation Assignment: Rotation Invariance is per-
formed by assigning one or more dominant orientations
to each key point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Keypoint Descriptor: A descriptor is made to represent
each keypoint, which supports the assigned orientation
in the preceding stage.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It supports the histogram of the
gradient within the image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The changes in illumination
are scaled back by the descriptor to the key point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"When
the keypoint descriptors are received, they are often used
as a feature or keypoint for data to solve various prob-
lems.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"More detailed information on SIFT computation
are often found in [110], [111].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kravets et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[90] proposed P-SIFT (Parallel SIFT) algo-
rithm, which reduces the computation time and increases the
processing speed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In P-SIFT, the problem is divided into sub-
tasks, and multiple processors are used for feature extraction.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The program reads the input image and generates the key
points.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After that, it matches the key points with respect to
each image in the database.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Matching is done using Euclidean
distance.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The images that have a ratio of ﬁrst least distance
to the second least distance is less than 0.8 are taken into
90506
VOLUME 8, 2020
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
consideration.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Then the image is given to the classiﬁer that
classiﬁes the emotion [112].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"A newly adapted method of SIFT to extract features from
an image called IntraFace was proposed in [91].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It uses
multi-directional warping of active visualization model and a
supervised descent model [113], which uses the SIFT feature
extraction technique for feature mapping and trains a method
to extract 49 points from the image.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"These points are used for
registering an average face, which is then termed as the face
region.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"5) SPEEDED UP ROBUST FEATURES (SURF)
Speeded Robust Features is a type of local feature detector
as well as descriptor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It is inspired from SIFT and the authors
claim that it is faster than SIFT.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Around the interesting point,
a certain reproducible orientation is ﬁxed based on infor-
mation from a circular region.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"From this selected orienta-
tion, we make a squared region, and the SURF descriptor
is extracted [114].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The SURF has two parts (i) a detector
and (ii) a descriptor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The location of the key points of the
image is provided by the detector and the descriptor expresses
the features of those key points.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"SURF uses Hessian matrix
for the fast assessment of box ﬁlters.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The integral images are
expressed as
J(p, q) =
p
X
l=0
q
X
j=0
I(l, m)
(9)
The Hessian matrix is represented as:
H(X, σ) =
Oaa(M, σ)
Oab(M, σ)
Oab(M, σ)
Oab(M, σ)

(10)
The introduction of pyramid scale space is done in SURF
because of box ﬁlters.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"The descriptor makes use of the sum
of Haar wavelet features that increases the robustness and
decreases the computation time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"For extraction, it constructs
a square region around the keypoint and oriented along the
orientation decided by a method.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Each region is split into 4×4
sub-regions, which keeps the important spatial features.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The
Haar wavelet computes at 5 × 5 sampled points [88].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"6) HISTOGRAM OF ORIENTED GRADIENTS (HOG)
The features extracted by HoG are tough against photometric
and geometric deviations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Many applications use HoG as the
feature extraction technique, such as human detection [110].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The steps to calculate these features are:
• In the ﬁrst step, it divides the entire image into small
cells.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Then, its direction and the magnitude is calculated.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Calculate the Bin for each direction as well as magnitude
using HoG.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• The blocks from adjacent cells are calculated, and block
normalization are created to calculate feature vector
from it.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"During implementation, 9 bins of histogram were calculated
using the cells of 8 × 8 pixels and blocks of 2 × 2 pixels
FIGURE 8.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Traditional CNN architecture.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
with unsigned orientation.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Reference [115] used a fusion of
HoG and LBP features.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Firstly, the HoG and LBP features
were extracted from the segmented parts.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The ﬁnal feature
vector consists of both the features of HoG and LBP, which
had 1892 features out of which 1656 came from HoG while
the rest came from LBP.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"C. EMOTION CLASSIFICATION
In this section, we discuss the various Classiﬁcation tech-
niques that are used to classify human face emotions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"We also
presented a comparative analysis of various emotion classiﬁ-
cation techniques, as shown in Table 7.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"1) CONVOLUTIONAL NEURAL NETWORK (CNN)
CNN is most widely used architectures in computer vision
techniques as well as in machine learning [130].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"A massive
data is required for training purpose to harness its complex
functions solving ability to its fullest [131].",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CNN uses con-
volution, min-max pooling, and fully connected as layers
than the conventional fully connected deep neural network
[53], [132], [133].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"When all these layers are stacked together,
the complete architecture is formed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The complete architec-
ture of CNN is shown in FIGURE 8.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
• The input layer of CNN contains the image pixel values.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"• The Convolutional layer convolves the l ×l kernels with
x feature maps of its preceding layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"If the next layer has
feature maps, then n×m convolutions are performed and
n × m × (w × h × l × l) Multiply-Accumulate (MAC)
operations are needed, where h and w represents the
feature map height and width of the next layer [132].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The
important function of Convolutional layer is to calculate
the output of all the neurons which are connected to
the input layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The activation functions such as ReLu,
sigmoid, tanh etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"aim to apply element wise activation
and to add the non-linearity into the output of neuron
• The pooling layer has the responsibility to achieve spa-
tial invariance by minimizing the resolution of feature
map.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"One feature map of the preceding CNN model
layer is corresponding to the one pooling layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"1) Max Pooling: It has a function u(x,y) (i.e., window
function) to the input data, and only picks the most
VOLUME 8, 2020
90507
K. Patel et al.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
TABLE 7.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Comparison of various state-of-art emotion classification techniques.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
active feature in a pooling region [134].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The max
pooling function is as follows:
aj = max
N×N(an×n
i
u(n, n))
(11)
2) Average Pooling: It has a function u(x,y) (i.e., win-
dow function) to the input data, and selects the
average value for each input data on the preceding
layer feature map [135], [136]
acti =
1
M × M
M×M
X
J=1
xj
(12)
Mostly, 2 × 2 pooling can be used without overlapping.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This means that M in the above equation is always 2.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"And the large pooling has M value as 4, 8, 16, which
always have a dependency on input image size.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"So,
[136], in their paper, proposed a Multi-activation pool-
ing method in order to satisfy the need of a large pooling
region.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"This method allows top-p activations to pass
through the pooling rate.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Here p indicates the total num-
ber of picked activations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"If p = M × M, then it means
that each and every activation through the computation
contributes to the ﬁnal output of neuron [136].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"For the
random pooling region Xi, we denote the nth-picked
90508
VOLUME 8, 2020
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
activation as actn
actn = max

Xi2
n−1
X
j=1
actj


(13)
where the value of n ∈[1,p].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The above pooling region
can be expressed as below where symbol 2 represents
the removal of elements from the assemblage.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The sum-
mation character in Eq.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"13 represents the set of elements
that contains top1 (n-1) activation, but not adding the
activation values numerically.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After having the top-p
activation value, we simply compute the average of each
value.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Then, a hyper-parameter σ is taken as a constraint
factor which perform the multiplication of the top-p
activations [136].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The ﬁnal output refers to
output = σ ∗
p
X
j=1
actj
(14)
Here, the summation symbol represents the addition
operation, where σ ∈(0,1).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Particularly,if σ = 1/p,
the output is the average value.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The constraint factor,
i.e., σ can be used to adjust the output values [136].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Fully connected (FC) layer is the last layer of CNN
architecture.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"It is the most fundamental layer which is
widely used in traditional CNN models [137], [138].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"As it is the last layer, each node in it is directly connected
to each and every node on both sides.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"As shown in
FIGURE 8, it can be noted that all the nodes in the
last frame of the pooling layer are converted into a
vector and then are connected to the ﬁrst layer of the
fully-connected layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"There are many parameters used
with CNN and need more time for training [139], [140].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"The major limitation of FC layer, is that it contains a
large number of parameters that need complex compu-
tational power for training purposes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Due to this, we try
to reduce the number of connections and nodes in the FC
layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The nodes and connections which are removed can
be retrieved again by adding the new technique named
dropout technique.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"In the past few years, CNN has emerged in Computer Vision,
including the ﬁeld of facial sentiment analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Researchers
have modiﬁed the traditional CNN for better performance.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A modiﬁed CNN was proposed by Mollahosseini et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"[91]
in which an inception layer was introduced.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Their network
architecture consisted of two elements.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Firstly, it had two
traditional CNN architectures containing the Convolutional
layer, followed by ReLu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Following these modules, they
added two inception layers which consists of 1 × 1, 3 × 3
and 5 × 5 Convolutional layers with ReLu in parallel.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"By
slightly
modifying
the
traditional
CNN,
Khorrami et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"[120] developed the model based on a classic
feed-forward CNN.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"They introduced a modiﬁcation in their
model by ignoring the biases of the Convolutional layers.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The
network contained three convolutional layers having ﬁlters
of size 64, 128, and 256, respectively, with 5 × 5 sized
d ﬁlters, which were then followed by activation function
ReLu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"They placed max-pooling layers after each of the 1st
two Convolutional layers, and after the 3rd convolutional
layer, they placed the quadrant pooling layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Then after
convolutional layers, FC layer containing 300 hidden units
followed by quadrant pooling was used.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"At last, the softmax
layer was used for classiﬁcation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The idea of using zero-bias model was ﬁrst introduced
in [141] for the fully-connected layers in the CNN model and
later was extended in [142].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"They implemented this model
on CK+ and TFD datasets.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Their model was successful in
recognizing the emotions with the rate of 88.6% ± 1.5% on
TFD with 7 classes and 95.1%±3.1% on CK+ with 8 classes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"They used Data Augmentation combined with dropout to
boost the performance [120].",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Further, the increase in accuracy and recognition perfor-
mance of the computer vision algorithms researchers pro-
posed advanced and deeper CNN architectures.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Taking into
consideration the work of Ding et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[77] designed a new
technique named FaceNet2ExpNet to train the model.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"They
used a ﬁne-tuned face net and proposed a unique distribution
function to train neurons of expression net.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"To improve the
discriminativeness of features that were learned, they used the
conventional network to design the ession net.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The training
process was executed in the two levels.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In 1st level, the Con-
volutional layers were given training using loss function, and
the output of the last pooling layer was used for supervision.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In the 2nd stage, they added randomly initialized FC layer and
then trained the network using labeled training data.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The test-
ing was done on constrained as well as unconstrained datasets
and achieved better results than the previous approaches [77].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"In 2018, Jadhav et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[54] investigated the previous
approaches and applied modiﬁcations to increase perfor-
mance.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"They investigated three different popular networks
that were quite successful in classifying emotions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The ﬁrst
network was proposed by Krizhevsky and Hintion [143].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The second network for investigation was inspired by
AlexNet [138] Convolutional network and the last one was
proposed from work done by Gudi [144].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It consisted of
an input layer of 48 × 48, one Convolutional layer, nor-
malization layer to reduce normalize dimensions, and then
a max-pooling layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Then again, 2 Convolutional layers
and then ﬁnally 1 FC layer, linked with the softmax layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"To decrease the number of parameters, [54] applied one
more max-pooling layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"They trained and tested the model
on FER2013 and RaFD respectively and got better results
than [144].",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cai et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"in [123], introduced a new island loss layer
in CNN to minimize intra-class variations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Their network
includes 3 Convolutional layers, each followed by the PReLU
and batch normalization (BN) layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Pooling was used with
the two initial BN layers.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After the third Convolutional layer,
2 FC layers and island loss was calculated at the second FC
layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"And then, at last, the softmax layer was used.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Their
architecture was named IL-CNN.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"They also employed VGG-
16 [145] network as their backbone network.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"This approach
VOLUME 8, 2020
90509
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
FIGURE 9.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A conventional VGG16 architecture.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"achieved good performance in comparison to the state-of-art
methods.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"In 2012, Simonyan et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[145] proposed VGG16 architec-
ture for object recognition and classiﬁcation task.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"VGG16 has
replicative structure of convolution, ReLu and pooling layer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
The network architecture of VGG16 is shown in FIGURE 9.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The invention of Residual Networks has created a rev-
olution in the image recognition ﬁeld.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Residual Networks
(ResNet) [146] is a classic network used as a backbone for the
many computer vision tasks.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"ResNet50 is the current state of
art convolutional neural network, which has the identity map-
ping capability.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
